#,Word,Hiragana,Romaji,Type,Meaning,Learning Status,Level
332.0,毎年,まいとし / まいねん,maitoshi / mainen,Noun,every year; yearly; annually,unseen,N5
333.0,毎月,まいつき,maitsuki,Noun,every month; monthly,unseen,N5
334.0,万,まん,man,"Noun, Numeric","10,000; ten thousand",unseen,N5
335.0,万年筆,まんねんひつ,mannenhitsu,Noun,fountain pen,unseen,N5
336.0,丸い,まるい,marui,"Adjective, い-adjective","round,circular",unseen,N5
337.0,真っ直ぐ,まっすぐ,massugu,"Noun, Adjective, な-adjective, Adverb","straight ahead,direct",unseen,N5
338.0,待つ,まつ,matsu,"Verb, Godan verb, Intransitive verb, Transitive verb",to wait​,unseen,N5
339.0,不味い,まずい,mazui,"Adjective, い-adjective",unpleasant,unseen,N5
340.0,目,め,me,Noun,eye,unseen,N5
341.0,メートル,,meetoru,"Noun, Katakana",metre; meter,unseen,N5
342.0,眼鏡,めがね,megane,Noun,glasses,unseen,N5
343.0,道,みち,michi,Noun,road; street,unseen,N5
344.0,緑,みどり,midori,Noun,green,unseen,N5
345.0,磨く,みがく,migaku,"Verb, Godan verb, Intransitive verb",to polish; to shine; to brush (e.g. teeth),unseen,N5
346.0,右,みぎ,migi,Noun,right; right hand side,unseen,N5
347.0,短い,みじかい,mijikai,"Adjective, い-adjective",short,unseen,N5
348.0,三日,みっか,mikka,Noun,the third day of the month / 3 days,unseen,N5
349.0,耳,みみ,mimi,Noun,ear; hearing,unseen,N5
350.0,南,みなみ,minami,Noun,south,unseen,N5
351.0,皆さん,みなさん,minasan,Noun,everyone,unseen,N5
352.0,みんな,,minna,"Noun, Adverb",all; everyone; everybody,unseen,N5
353.0,見る,みる,miru,"Verb, Ichidan verb, Transitive verb",to see; to look; to watch; to view; to observe,unseen,N5
354.0,店,みせ,mise,Noun,store; shop; establishment; restaurant,unseen,N5
355.0,見せる,みせる,miseru,"Verb, Ichidan verb, Transitive verb",to show; to display,unseen,N5
356.0,三つ,みっつ,mittsu,"Noun, Numeric",three; 3,unseen,N5
357.0,水,みず,mizu,Noun,water; fluid; liquid​,unseen,N5
358.0,木曜日,もくようび,mokuyoubi,Noun,Thursday,unseen,N5
359.0,門,もん,mon,Noun,gate,unseen,N5
360.0,問題,もんだい,mondai,Noun,problem; question (e.g. on a test),unseen,N5
361.0,物,もの,mono,Noun,thing,unseen,N5
362.0,持つ,もつ,motsu,"Verb, Godan verb",to hold,unseen,N5
363.0,もっと,,motto,Adverb,more; longer; further,unseen,N5
364.0,もう一度,もういちど,mouichido,Expression,once more; again,unseen,N5
365.0,六日,むいか,muika,Noun,sixth day of the month / 6 days,unseen,N5
366.0,向こう,むこう,mukou,Noun,over there,unseen,N5
367.0,村,むら,mura,Noun,village,unseen,N5
368.0,六つ,むっつ,muttsu,"Noun, Numeric",six; 6,unseen,N5
369.0,難しい,むずかしい,muzukashii,"Adjective, い-adjective",difficult,unseen,N5
370.0,長い,ながい,nagai,"Adjective, い-adjective",long (distance)​; long (time); lengthy.,unseen,N5
371.0,ナイフ,,naifu,"Noun, Katakana",knife,unseen,N5
372.0,中,なか,naka,Noun,inside; in; within; center,unseen,N5
373.0,鳴く,なく,naku,"Verb, Godan verb, Intransitive verb",animal noise. to chirp,unseen,N5
374.0,無くす,なくす,nakusu,"Verb, Godan verb, Transitive verb",to lose (something),unseen,N5
375.0,名前,なまえ,namae,Noun,name; full name; given name,unseen,N5
376.0,七つ,ななつ,nanatsu,"Noun, Numeric",seven; 7,unseen,N5
377.0,何,なに,nani,"Noun, Pronoun, Prefix",what,unseen,N5
378.0,七日,なのか,nanoka,Noun,seventh day of the month / 7 days,unseen,N5
379.0,並べる,ならべる,naraberu,"Verb, Ichidan verb, Transitive verb","to line up,to set up",unseen,N5
380.0,並ぶ,ならぶ,narabu,"Verb, Godan verb, Intransitive verb","to line up,to stand in a line",unseen,N5
381.0,習う,ならう,narau,"Verb, Godan verb, Transitive verb",to be taught; to learn (from a teacher),unseen,N5
382.0,夏,なつ,natsu,Noun,summer,unseen,N5
383.0,夏休み,なつやすみ,natsuyasumi,Noun,summer vacation; summer holiday,unseen,N5
384.0,何故,なぜ,naze,Adverb,why; how,unseen,N5
385.0,猫,ねこ,neko,Noun,cat,unseen,N5
386.0,ネクタイ,,nekutai,"Noun, Katakana",tie; necktie,unseen,N5
387.0,寝る,ねる,neru,"Verb, Ichidan verb, Intransitive verb",to sleep; to go to bed; to lie down,unseen,N5
388.0,二,に,ni,"Noun, Numeric",two; 2,unseen,N5
389.0,日曜日,にちようび,nichiyoubi,Noun,Sunday,unseen,N5
390.0,賑やか,にぎやか,nigiyaka,"Adjective, な-adjective","bustling,busy",unseen,N5
391.0,日記,にっき,nikki,Noun,diary; journal,unseen,N5
392.0,肉,にく,niku,Noun,meat,unseen,N5
393.0,荷物,にもつ,nimotsu,Noun,luggage; baggage,unseen,N5
394.0,西,にし,nishi,Noun,west,unseen,N5
395.0,庭,にわ,niwa,Noun,garden,unseen,N5
396.0,登る,のぼる,noboru,"Verb, Godan verb, Intransitive verb",to climb,unseen,N5
397.0,飲み物,のみもの,nomimono,Noun,drink; beverage,unseen,N5
398.0,飲む,のむ,nomu,"Verb, Godan verb, Transitive verb",to drink,unseen,N5
399.0,ノート,,nooto,"Noun, Katakana",notebook,unseen,N5
400.0,乗る,のる,noru,"Verb, Godan verb, Intransitive verb","to get on (train, plane, bus, ship, etc.)",unseen,N5
401.0,脱ぐ,ぬぐ,nugu,"Verb, Godan verb, Transitive verb",to take off clothes,unseen,N5
402.0,温い,ぬるい,nurui,"Adjective, い-adjective",luke warm,unseen,N5
403.0,ニュース,,nyuusu,"Noun, Katakana",news,unseen,N5
404.0,おばあさん,,obaasan,Noun,grandmother,unseen,N5
405.0,伯母さん,おばさん,obasan,Noun,aunt; old lady,unseen,N5
406.0,お弁当,おべんとう,obentou,Noun,lunch box; Japanese box lunch,unseen,N5
407.0,覚える,おぼえる,oboeru,"Verb, Ichidan verb, Transitive verb",to remember,unseen,N5
408.0,お茶,おちゃ,ocha,Noun,tea,unseen,N5
409.0,お風呂,おふろ,ofuro,Noun,bath,unseen,N5
410.0,美味しい,おいしい,oishii,い-adjective,delicious,unseen,N5
411.0,伯父さん,おじさん,ojisan,Noun,uncle; old man; mister,unseen,N5
412.0,お母さん,おかあさん,okaasan,Noun,mother; mom; mum; ma,unseen,N5
413.0,お金,おかね,okane,Noun,money,unseen,N5
414.0,お菓子,おかし,okashi,Noun,confections; sweets; candy,unseen,N5
415.0,起きる,おきる,okiru,"Verb, Ichidan verb, Intransitive verb",to get up; to wake up,unseen,N5
416.0,置く,おく,oku,"Verb, Godan verb, Transitive verb",to put; to place​,unseen,N5
417.0,奥さん,おくさん,okusan,Noun,wife; your wife; his wife,unseen,N5
418.0,お巡りさん,おまわりさん,omawari san,Noun,police officer (friendly term for policeman),unseen,N5
419.0,重い,おもい,omoi,い-adjective,heavy,unseen,N5
420.0,面白い,おもしろい,omoshiroi,"Adjective, い-adjective",interesting,unseen,N5
421.0,同じ,おなじ,onaji,"Noun, Adverb",same,unseen,N5
422.0,お腹,おなか,onaka,Noun,stomach,unseen,N5
423.0,お姉さん,おねえさん,oneesan,Noun,elder sister; young lady; miss; ma'am,unseen,N5
424.0,音楽,おんがく,ongaku,Noun,music,unseen,N5
425.0,お兄さん,おにいさん,oniisan,Noun,older brother; elder brother; young man; buddy,unseen,N5
426.0,女,おんな,onna,"Noun, Prefix",woman; female sex,unseen,N5
427.0,女の子,おんなのこ,onnanoko,"Noun, Expression",girl; daughter; young women,unseen,N5
428.0,多い,おおい,ooi,"Adjective, い-adjective",many; numerous; a lot; large quantity; frequent,unseen,N5
429.0,大きい,おおきい,ookii,"Adjective, い-adjective",big; large; great; important,unseen,N5
430.0,大きな,おおきな,ookina,Pre-noun adjectival,big; large; great​,unseen,N5
431.0,大勢,おおぜい,oozei,Noun,crowd of people; great number of people,unseen,N5
432.0,降りる,おりる,oriru,"Verb, Ichidan verb, Intransitive verb",to get off,unseen,N5
433.0,お酒,おさけ,osake,Noun,alcohol,unseen,N5
434.0,お皿,おさら,osara,Noun,"plate, dish",unseen,N5
435.0,教える,おしえる,oshieru,"Verb, Ichidan verb, Transitive verb",to teach,unseen,N5
436.0,遅い,おそい,osoi,"Adjective, い-adjective",slow; time-consuming; late,unseen,N5
437.0,押す,おす,osu,"Verb, Godan verb, Transitive verb",to push; to press​,unseen,N5
438.0,お手洗い,おてあらい,otearai,Noun,toilet; restroom; lavatory; bathroom,unseen,N5
439.0,男,おとこ,otoko,Noun,man; male,unseen,N5
440.0,男の子,おとこのこ,otokonoko,"Noun, Expression",boy; male child; baby boy,unseen,N5
441.0,大人,おとな,otona,Noun,adult,unseen,N5
442.0,一昨日,おととい,ototoi,Noun,day before yesterday,unseen,N5
443.0,一昨年,おととし,ototoshi,Noun,year before last,unseen,N5
444.0,お父さん,おとうさん,otousan,Noun,father; dad; papa; pa; pop; daddy,unseen,N5
445.0,弟,おとうと,otouto,Noun,younger brother,unseen,N5
446.0,終わる,おわる,owaru,"Verb, Godan verb, Intransitive verb",to finish; to end,unseen,N5
447.0,泳ぐ,およぐ,oyogu,"Verb, Godan verb, Intransitive verb",to swim,unseen,N5
448.0,パーティー,,paatii,"Noun, Katakana",party,unseen,N5
449.0,パン,,pan,"Noun, Katakana",bread,unseen,N5
450.0,ページ,,peeji,"Noun, Katakana",page,unseen,N5
451.0,ペン,,pen,"Noun, Katakana",pen,unseen,N5
452.0,ペット,,petto,"Noun, Katakana",pet,unseen,N5
453.0,ポケット,,poketto,Noun,pocket,unseen,N5
454.0,ポスト,,posuto,"Noun, Katakana",post,unseen,N5
455.0,プール,,puuru,"Noun, Katakana",swimming pool,unseen,N5
456.0,来月,らいげつ,raigetsu,Noun,next month,unseen,N5
457.0,来年,らいねん,rainen,Noun,next year,unseen,N5
458.0,来週,らいしゅう,raishuu,Noun,next week,unseen,N5
459.0,ラジオ,,rajiio,"Noun, Katakana",radio,unseen,N5
460.0,零,れい,rei,Noun,zero,unseen,N5
461.0,冷蔵庫,れいぞうこ,reizouko,Noun,refrigerator,unseen,N5
462.0,レコード,,rekoodo,"Noun, Katakana",record,unseen,N5
463.0,練習,れんしゅう,renshuu,"Noun, Verb, Suru verb",practice; practicing,unseen,N5
464.0,レストラン,,resutoran,"Noun, Katakana",restaurant,unseen,N5
465.0,立派,りっぱ,rippa,"Adjective, な-adjective",splendid,unseen,N5
466.0,六,ろく,roku,"Noun, Numeric",six; 6,unseen,N5
467.0,廊下,ろうか,rouka,Noun,corridor; hallway; passageway,unseen,N5
468.0,旅行,りょこう,ryokou,"Noun, Verb, Suru verb",travel; trip; journey; excursion; tour,unseen,N5
469.0,料理,りょうり,ryouri,"Noun, Suru verb",cuisine,unseen,N5
470.0,両親,りょうしん,ryoushin,Noun,parents; both parents,unseen,N5
471.0,留学生,りゅうがくせい,ryuugakusei,Noun,overseas student; exchange student,unseen,N5
472.0,さあ,,saa,Conjunction,well…,unseen,N5
473.0,財布,さいふ,saifu,Noun,purse; wallet,unseen,N5
474.0,魚,さかな,sakana,Noun,fish,unseen,N5
475.0,先,さき,saki,"Noun, Prefix, Suffix",previous; prior; first; earlier,unseen,N5
476.0,咲く,さく,saku,"Verb, Godan verb, Intransitive verb",to bloom,unseen,N5
477.0,作文,さくぶん,sakubun,Noun,writing; composition,unseen,N5
478.0,寒い,さむい,samui,"Adjective, い-adjective",cold,unseen,N5
479.0,三,さん,san,"Noun, Numeric",three; 3,unseen,N5
480.0,散歩,さんぽ,sanpo,"Noun, Verb, Suru verb",walk; stroll,unseen,N5
481.0,再来年,さらいねん,sarainen,Noun,year after next,unseen,N5
482.0,差す,さす,sasu,"Verb, Godan verb, Transitive verb","to stretch out hands, to raise an umbrella",unseen,N5
483.0,砂糖,さとう,satou,Noun,sugar,unseen,N5
484.0,背,せ,se,Noun,height; stature; back; spine,unseen,N5
485.0,背広,せびろ,sebiro,Noun,business suit,unseen,N5
486.0,セーター,,seetaa,"Noun, Katakana",sweater; jumper,unseen,N5
487.0,生徒,せいと,seito,Noun,pupil; student,unseen,N5
488.0,石鹼,せっけん,sekken,Noun,soap,unseen,N5
489.0,狭い,せまい,semai,い-adjective,narrow,unseen,N5
490.0,千,せん,sen,"Noun, Numeric","1,000; thousand",unseen,N5
491.0,先月,せんげつ,sengetsu,Noun,last month,unseen,N5
492.0,先生,せんせい,sensei,"Noun, Suffix",teacher; instructor; master,unseen,N5
493.0,先週,せんしゅう,senshuu,Noun,last week,unseen,N5
494.0,洗濯,せんたく,sentaku,"Noun, Suru verb",washing; laundry,unseen,N5
495.0,写真,しゃしん,shashin,Noun,photograph; photo,unseen,N5
496.0,シャツ,,shatsu,"Noun, Katakana",shirt,unseen,N5
497.0,シャワー,,shawaa,"Noun, Katakana",shower,unseen,N5
498.0,四,し,shi,"Noun, Numeric",four; 4,unseen,N5
499.0,七,しち,shichi,"Noun, Numeric",seven; 7,unseen,N5
500.0,仕事,しごと,shigoto,"Noun, Verb, Suru verb",work; job; business,unseen,N5
501.0,閉まる,しまる,shimaru,"Verb, Godan verb, Intransitive verb","to close, to be closed",unseen,N5
502.0,閉める,しめる,shimeru,"Verb, Ichidan verb, Transitive verb",to close; to shut,unseen,N5
503.0,締める,しめる,shimeru,"Verb, Ichidan verb, Transitive verb",to tie; to fasten; to tighten​,unseen,N5
504.0,新聞,しんぶん,shinbun,Noun,newspaper,unseen,N5
505.0,死ぬ,しぬ,shinu,"Verb, Godan verb, Intransitive verb",to die,unseen,N5
506.0,塩,しお,shio,Noun,salt,unseen,N5
507.0,白,しろ,shiro,Noun,white; innocence; innocent person,unseen,N5
508.0,白い,しろい,shiroi,"Adjective, い-adjective",white,unseen,N5
509.0,知る,しる,shiru,"Verb, Godan verb, Transitive verb",to know,unseen,N5
510.0,下,した,shita,Noun,below; down; under; bottom,unseen,N5
511.0,質問,しつもん,shitsumon,"Noun, Verb, Suru verb",question; inquiry,unseen,N5
512.0,静か,しずか,shizuka,"Adjective, な-adjective",quiet,unseen,N5
513.0,食堂,しょくどう,shokudou,Noun,cafeteria; dining room,unseen,N5
514.0,醬油,しょうゆ,shouyu,Noun,soy sauce,unseen,N5
515.0,宿題,しゅくだい,shukudai,Noun,homework; assignment; pending issue,unseen,N5
516.0,そば,,soba,Noun,near; beside,unseen,N5
517.0,そっち,,socchi,Pronoun,that way; ​over there,unseen,N5
518.0,そちら,,sochira,Pronoun,"that way (distant from speaker, close to listener); you; your family",unseen,N5
519.0,そこ,,soko,Pronoun,that place​; there,unseen,N5
520.0,その,,sono,Pre-noun adjectival,that,unseen,N5
521.0,空,そら,sora,Noun,sky; the air,unseen,N5
522.0,それ,,sore,Pronoun,that,unseen,N5
523.0,それでは,,sore dewa,Expression,in that situation,unseen,N5
524.0,外,そと,soto,Noun,outside; exterior;,unseen,N5
525.0,掃除,そうじ,souji,"Noun, Suru verb","to clean, to sweep",unseen,N5
526.0,直ぐに,すぐに,sugu ni,Adverb,immediately; right away; instantly​,unseen,N5
527.0,水曜日,すいようび,suiyoubi,Noun,Wednesday,unseen,N5
528.0,スカート,,sukaato,"Noun, Katakana",skirt,unseen,N5
529.0,好き,すき,suki,"Noun, Adjective, な-adjective",like,unseen,N5
530.0,少し,すこし,sukoshi,"Noun, Adverb",a little (bit); small quantity; few; short distance,unseen,N5
531.0,少ない,すくない,sukunai,い-adjective,few; a little; scarce; insufficient; seldom,unseen,N5
532.0,住む,すむ,sumu,"Verb, Godan verb, Intransitive verb",to live in; to reside; to inhabit; to dwell; to abide,unseen,N5
533.0,スポーツ,,supootsu,"Noun, Katakana",sport; sports,unseen,N5
534.0,スプーン,,supuun,"Noun, Katakana",spoon,unseen,N5
535.0,スリッパ,,surippa,"Noun, Katakana",slipper; slippers,unseen,N5
536.0,ストーブ,,sutoobu,"Noun, Katakana",heater; stove,unseen,N5
537.0,吸う,すう,suu,"Verb, Godan verb, Transitive verb","to smoke, to suck",unseen,N5
538.0,座る,すわる,suwaru,"Verb, Godan verb, Intransitive verb",to sit,unseen,N5
539.0,涼しい,すずしい,suzushii,"Adjective, い-adjective","refreshing, cool",unseen,N5
540.0,たばこ,,tabako,Noun,tobacco; cigarette,unseen,N5
541.0,食べ物,たべもの,tabemono,Noun,food,unseen,N5
542.0,食べる,たべる,taberu,"Verb, Ichidan verb, Intransitive verb",to eat,unseen,N5
543.0,多分,たぶん,tabun,"Adjective, な-adjective, Adverb",perhaps; probably,unseen,N5
544.0,大変,たいへん,taihen,"Noun, Adjective, な-adjective, Adverb",very; greatly; terribly; serious; difficult,unseen,N5
545.0,大切,たいせつ,taisetsu,"Noun, Adjective, な-adjective",important; necessary; indispensable; beloved,unseen,N5
546.0,大使館,たいしかん,taishikan,Noun,embassy,unseen,N5
547.0,高い,たかい,takai,"Adjective, い-adjective",high; tall; expensive; above average,unseen,N5
548.0,沢山,たくさん,takusan,"Noun, Adverbial Noun, Adjective, な-adjective",many,unseen,N5
549.0,タクシー,,takushii,"Noun, Katakana",taxi,unseen,N5
550.0,卵,たまご,tamago,Noun,eggs; egg,unseen,N5
551.0,誕生日,たんじょうび,tanjoubi,Noun,birthday,unseen,N5
552.0,頼む,たのむ,tanomu,"Verb, Godan verb, Transitive verb",to ask,unseen,N5
553.0,楽しい,たのしい,tanoshii,"Adjective, い-adjective",enjoyable; fun,unseen,N5
554.0,縦,たて,tate,Noun,"length,height",unseen,N5
555.0,建物,たてもの,tatemono,Noun,building,unseen,N5
556.0,立つ,たつ,tatsu,"Verb, Godan verb, Intransitive verb",to stand; to stand up​,unseen,N5
557.0,手,て,te,Noun,hand; arm,unseen,N5
558.0,テーブル,,teeburu,"Noun, Katakana",table,unseen,N5
559.0,テープ,,teepu,"Noun, Katakana",tape,unseen,N5
560.0,テープレコーダー,,teepu rekoodaa,"Noun, Katakana",tape recorder,unseen,N5
561.0,手紙,てがみ,tegami,Noun,Letter (message)​,unseen,N5
562.0,天気,てんき,tenki,Noun,weather; the elements,unseen,N5
563.0,テレビ,,terebi,"Noun, Katakana",television; TV​,unseen,N5
564.0,テスト,,tesuto,"Noun, Suru verb, Katakana",examination; quiz; test,unseen,N5
565.0,戸,と,to,Noun,Japanese style door,unseen,N5
566.0,飛ぶ,とぶ,tobu,"Verb, Godan verb, Intransitive verb",to fly; to hop,unseen,N5
567.0,トイレ,,toire,"Noun, Katakana",toilet,unseen,N5
568.0,時計,とけい,tokei,Noun,watch; clock; timepiece,unseen,N5
569.0,時,とき,toki,Noun,time; moment; occasion; chance,unseen,N5
570.0,時々,ときどき,tokidoki,"Noun, Adverb",sometimes; at times,unseen,N5
571.0,所,ところ,tokoro,"Noun, Suffix",place,unseen,N5
572.0,止まる,とまる,tomaru,"Verb, Godan verb, Intransitive verb",to stop; to come to a halt,unseen,N5
573.0,友達,ともだち,tomodachi,Noun,friend; companion,unseen,N5
574.0,隣,となり,tonari,Noun,next door to,unseen,N5
575.0,遠い,とおい,tooi,"Adjective, い-adjective",far,unseen,N5
576.0,十日,とおか,tooka,Noun,tenth day of the month / 10 days,unseen,N5
577.0,鳥,とり,tori,Noun,bird,unseen,N5
578.0,鶏肉,とりにく,toriniku,Noun,chicken meat,unseen,N5
579.0,取る,とる,toru,"Verb, Godan verb, Transitive verb",to take; to pick up; to harvest; to earn; to win; to choose,unseen,N5
580.0,撮る,とる,toru,"Verb, Godan verb, Transitive verb",to take a photo or record a film,unseen,N5
581.0,年,とし,toshi,Noun,year; age,unseen,N5
582.0,図書館,としょかん,toshokan,Noun,library,unseen,N5
583.0,次,つぎ,tsugi,Noun,next,unseen,N5
584.0,一日,ついたち,tsuitachi,Noun,first day of the month,unseen,N5
585.0,疲れる,つかれる,tsukareru,"Verb, Ichidan verb, Intransitive verb",to get tired,unseen,N5
586.0,使う,つかう,tsukau,"Verb, Godan verb, Transitive verb",to use,unseen,N5
587.0,つける,,tsukeru,"Verb, Ichidan verb, Transitive verb",to turn on,unseen,N5
588.0,付ける,つける,tsukeru,"Verb, Ichidan verb, Transitive verb",to attach; affix; add; apply,unseen,N5
589.0,着く,つく,tsuku,"Verb, Godan verb, Intransitive verb",to arrive at,unseen,N5
590.0,机,つくえ,tsukue,Noun,desk,unseen,N5
591.0,作る,つくる,tsukuru,"Verb, Godan verb, Transitive verb",to make,unseen,N5
592.0,詰まらない,つまらない,tsumaranai,"Adjective, い-adjective",boring,unseen,N5
593.0,冷たい,つめたい,tsumetai,い-adjective,cold to the touch,unseen,N5
594.0,勤める,つとめる,tsutomeru,"Verb, Ichidan verb, Transitive verb",to work for someone,unseen,N5
595.0,強い,つよい,tsuyoi,"Adjective, い-adjective",powerful,unseen,N5
596.0,上,うえ,ue,"Noun, Suffix",above; up; over; top; surface,unseen,N5
597.0,生まれる,うまれる,umareru,"Verb, Ichidan verb, Intransitive verb",to be born,unseen,N5
598.0,海,うみ,umi,Noun,sea,unseen,N5
599.0,売る,うる,uru,"Verb, Godan verb, Transitive verb",to sell,unseen,N5
600.0,煩い,うるさい,urusai,い-adjective,"noisy, annoying",unseen,N5
601.0,後ろ,うしろ,ushiro,Noun,back; behind; rear,unseen,N5
602.0,薄い,うすい,usui,"Adjective, い-adjective",thin; weak,unseen,N5
603.0,歌,うた,uta,Noun,song,unseen,N5
604.0,歌う,うたう,utau,"Verb, Godan verb, Intransitive verb, Transitive verb",to sing,unseen,N5
605.0,上着,うわぎ,uwagi,Noun,coat; tunic; jacket; outer garment,unseen,N5
606.0,ワイシャツ,,wai shatsu,"Noun, Katakana, Wasei",shirt,unseen,N5
607.0,若い,わかい,wakai,"Adjective, い-adjective",young,unseen,N5
608.0,分かる,わかる,wakaru,"Verb, Godan verb, Intransitive verb",to understand; to comprehend; to grasp; to see; to get; to follow,unseen,N5
609.0,悪い,わるい,warui,"Adjective, い-adjective",bad; poor; undesirable,unseen,N5
610.0,忘れる,わすれる,wasureru,"Verb, Ichidan verb, Transitive verb",to forget,unseen,N5
611.0,渡る,わたる,wataru,"Verb, Godan verb, Intransitive verb",to go across,unseen,N5
612.0,私,わたし,watashi,Pronoun,I; myself,unseen,N5
613.0,渡す,わたす,watasu,"Verb, Godan verb, Transitive verb",to hand over,unseen,N5
614.0,山,やま,yama,Noun,mountain; hill,unseen,N5
615.0,八百屋,やおや,yaoya,Noun,greengrocer; fruit and vegetable shop; versatile,unseen,N5
616.0,やる,,yaru,"Verb, Godan verb, Transitive verb",to do,unseen,N5
617.0,野菜,やさい,yasai,Noun,vegetable,unseen,N5
618.0,易しい,やさしい,yasashii,"Adjective, い-adjective","easy, simple",unseen,N5
619.0,安い,やすい,yasui,"Adjective, い-adjective",cheap; inexpensive,unseen,N5
620.0,休み,やすみ,yasumi,Noun,rest; vacation; holiday,unseen,N5
621.0,休む,やすむ,yasumu,"Verb, Godan verb, Intransitive verb",to be absent; to take a day off; to rest,unseen,N5
622.0,八つ,やっつ,yattsu,"Noun, Numeric",eight: 8,unseen,N5
623.0,呼ぶ,よぶ,yobu,"Verb, Godan verb, Transitive verb","to call out, to invite",unseen,N5
624.0,良い,よい/いい,yoi/ii,"Adjective, い-adjective",good,unseen,N5
625.0,四日,よっか,yokka,Noun,fourth day of the month / 4 days,unseen,N5
626.0,横,よこ,yoko,Noun,"beside,side,width",unseen,N5
627.0,よく,,yoku,Adverb,"often, well",unseen,N5
628.0,読む,よむ,yomu,"Verb, Godan verb, Transitive verb",to read; to guess; to predict; to read (someone's thoughts),unseen,N5
629.0,夜,よる,yoru,Noun,evening; night,unseen,N5
630.0,四つ,よつ,yotsu,"Noun, Numeric",four; 4,unseen,N5
631.0,洋服,ようふく,youfuku,Noun,western clothes,unseen,N5
632.0,八日,ようか,youka,Noun,eighth day of the month / 8 days,unseen,N5
633.0,弱い,よわい,yowai,"Adjective, い-adjective",weak,unseen,N5
634.0,雪,ゆき,yuki,Noun,snow,unseen,N5
635.0,ゆっくり,,yukkuri,Adverb,slowly,unseen,N5
636.0,昨夜,ゆうべ,yuube,Noun,last night,unseen,N5
637.0,郵便局,ゆうびんきょく,yuubinkyoku,Noun,post office,unseen,N5
638.0,夕方,ゆうがた,yuugata,Noun,evening; dusk,unseen,N5
639.0,夕飯,ゆうはん,yuuhan,Noun,evening meal,unseen,N5
640.0,有名,ゆうめい,yuumei,"Noun, Adjective, な-adjective",famous,unseen,N5
641.0,雑誌,ざっし,zasshi,Noun,magazine,unseen,N5
642.0,全部,ぜんぶ,zenbu,"Noun, Adverbial Noun",all,unseen,N5
643.0,ゼロ,,zero,Noun,zero,unseen,N5
644.0,ズボン,,zubon,"Noun, Katakana",trousers; pants,unseen,N5
